x_m,y_m,w_tr_right_m,w_tr_left_m
1.52,0.64,0.25,0.16
1.52,0.63,0.25,0.16
1.52,0.62,0.25,0.16
1.52,0.61,0.25,0.16
1.52,0.6,0.25,0.16
1.52,0.59,0.25,0.16
1.52,0.58,0.25,0.16
1.52,0.57,0.25,0.16
1.52,0.56,0.25,0.16
1.52,0.55,0.25,0.16
1.52,0.54,0.25,0.16
1.52,0.53,0.25,0.16
1.52,0.52,0.25,0.16
1.52,0.51,0.25,0.16
1.52,0.5,0.25,0.16
1.52,0.49,0.25,0.16
1.52,0.48,0.25,0.16
1.52,0.47,0.25,0.16
1.52,0.46,0.25,0.16
1.52,0.45,0.25,0.16
1.52,0.44,0.25,0.16
1.52,0.43,0.25,0.16
1.52,0.42,0.25,0.16
1.52,0.41,0.25,0.16
1.52,0.4,0.25,0.16
1.52,0.39,0.25,0.16
1.52,0.38,0.25,0.16
1.52,0.37,0.25,0.16
1.52,0.36,0.25,0.16
1.52,0.35,0.25,0.16
1.52,0.34,0.25,0.16
1.52,0.33,0.25,0.16
1.52,0.32,0.25,0.16
1.52,0.31,0.25,0.16
1.52,0.3,0.25,0.16
1.52,0.29,0.25,0.16
1.52,0.28,0.25,0.16
1.51,0.28,0.25,0.16
1.5,0.28,0.25,0.16
1.49,0.28,0.25,0.16
1.48,0.28,0.25,0.16
1.47,0.28,0.25,0.16
1.46,0.28,0.25,0.16
1.45,0.28,0.25,0.16
1.44,0.28,0.25,0.16
1.43,0.28,0.25,0.16
1.42,0.28,0.25,0.16
1.41,0.28,0.25,0.16
1.4,0.28,0.25,0.16
1.39,0.28,0.25,0.16
1.38,0.28,0.25,0.16
1.37,0.28,0.25,0.16
1.36,0.28,0.25,0.16
1.35,0.28,0.25,0.16
1.34,0.28,0.25,0.16
1.33,0.28,0.25,0.16
1.32,0.28,0.25,0.16
1.31,0.28,0.25,0.16
1.3,0.28,0.25,0.16
1.29,0.28,0.25,0.16
1.28,0.28,0.25,0.16
1.27,0.28,0.25,0.16
1.26,0.28,0.25,0.16
1.25,0.28,0.25,0.16
1.24,0.28,0.25,0.16
1.23,0.28,0.25,0.16
1.22,0.28,0.25,0.16
1.21,0.28,0.25,0.16
1.2,0.28,0.25,0.16
1.19,0.28,0.25,0.16
1.18,0.28,0.25,0.16
1.17,0.28,0.25,0.16
1.16,0.28,0.25,0.16
1.15,0.28,0.25,0.16
1.14,0.28,0.25,0.16
1.13,0.28,0.25,0.16
1.12,0.28,0.25,0.16
1.11,0.28,0.25,0.16
1.1,0.28,0.25,0.16
1.09,0.28,0.25,0.16
1.08,0.28,0.25,0.16
1.07,0.28,0.25,0.16
1.06,0.28,0.25,0.16
1.05,0.28,0.25,0.16
1.04,0.28,0.25,0.16
1.03,0.28,0.25,0.16
1.02,0.28,0.25,0.16
1.01,0.28,0.25,0.16
1,0.28,0.25,0.16
0.99,0.28,0.25,0.16
0.98,0.28,0.25,0.16
0.97,0.28,0.25,0.16
0.96,0.28,0.25,0.16
0.95,0.28,0.25,0.16
0.94,0.28,0.25,0.16
0.93,0.28,0.25,0.16
0.92,0.28,0.25,0.16
0.91,0.28,0.25,0.16
0.9,0.28,0.25,0.16
0.89,0.28,0.25,0.16
0.88,0.28,0.25,0.16
0.87,0.28,0.25,0.16
0.86,0.28,0.25,0.16
0.85,0.28,0.25,0.16
0.84,0.28,0.25,0.16
0.83,0.28,0.25,0.16
0.82,0.28,0.25,0.16
0.81,0.28,0.25,0.16
0.8,0.28,0.25,0.16
0.79,0.28,0.25,0.16
0.78,0.28,0.25,0.16
0.77,0.28,0.25,0.16
0.76,0.28,0.25,0.16
0.75,0.28,0.25,0.16
0.74,0.28,0.25,0.16
0.73,0.28,0.25,0.16
0.72,0.28,0.25,0.16
0.71,0.28,0.25,0.16
0.7,0.28,0.25,0.16
0.69,0.28,0.25,0.16
0.68,0.28,0.25,0.16
0.67,0.28,0.25,0.16
0.66,0.28,0.25,0.16
0.65,0.28,0.25,0.16
0.64,0.28,0.25,0.16
0.63,0.28,0.25,0.16
0.62,0.28,0.25,0.16
0.61,0.28,0.25,0.16
0.6,0.28,0.25,0.16
0.59,0.28,0.25,0.16
0.58,0.28,0.25,0.16
0.57,0.28,0.25,0.16
0.56,0.28,0.25,0.16
0.55,0.28,0.25,0.16
0.54,0.28,0.25,0.16
0.53,0.28,0.25,0.16
0.52,0.28,0.25,0.16
0.51,0.28,0.25,0.16
0.5,0.28,0.25,0.16
0.49,0.28,0.25,0.16
0.48,0.28,0.25,0.16
0.47,0.28,0.25,0.16
0.46,0.28,0.25,0.16
0.45,0.28,0.25,0.16
0.44,0.28,0.25,0.16
0.43,0.28,0.25,0.16
0.42,0.28,0.25,0.16
0.41,0.28,0.25,0.16
0.4,0.28,0.25,0.16
0.39,0.28,0.25,0.16
0.38,0.28,0.25,0.16
0.37,0.28,0.25,0.16
0.36,0.28,0.25,0.16
0.35,0.28,0.25,0.16
0.34,0.28,0.25,0.16
0.33,0.28,0.25,0.16
0.32,0.28,0.25,0.16
0.31,0.28,0.25,0.16
0.3,0.28,0.25,0.16
0.29,0.28,0.25,0.16
0.28,0.28,0.25,0.16
